ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,timestamp,date,hour,day_of_week,month,year,seconds_played,minutes_played,artist_name,track_name,album_name
2023-09-05T01:04:32Z,ios,382573,US,172.56.208.159,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,trackdone,True,False,False,1693875490.0,False,2023-09-05 01:04:32+00:00,2023-09-05,1,Tuesday,9,2023,382.573,6.376216666666666,Hillsong UNITED,Echoes (Till We See The Other Side) - Live,People
2023-09-05T01:08:58Z,ios,265466,US,172.56.208.159,God So Loved,We The Kingdom,Holy Water,spotify:track:2kcKzbmiyS7kpwSka7nSmt,,,,,,,,trackdone,trackdone,True,False,False,1693875873.0,False,2023-09-05 01:08:58+00:00,2023-09-05,1,Tuesday,9,2023,265.466,4.424433333333334,We The Kingdom,God So Loved,Holy Water
2023-09-05T01:16:22Z,ios,372150,US,172.56.208.159,Jesus You Alone,Highlands Worship,Jesus You Alone,spotify:track:4zYvDOveReSl6t86OfBMCU,,,,,,,,playbtn,trackdone,True,False,False,1693876211.0,False,2023-09-05 01:16:22+00:00,2023-09-05,1,Tuesday,9,2023,372.15,6.2025,Highlands Worship,Jesus You Alone,Jesus You Alone
2023-09-05T01:24:42Z,ios,469480,US,172.56.208.159,I Speak Jesus,Charity Gayle,Endless Praise,spotify:track:467ywsenaNywwCuYhmBb5N,,,,,,,,trackdone,trackdone,True,False,False,1693876613.0,False,2023-09-05 01:24:42+00:00,2023-09-05,1,Tuesday,9,2023,469.48,7.824666666666667,Charity Gayle,I Speak Jesus,Endless Praise
2023-09-05T01:29:54Z,ios,296346,US,172.56.208.159,Homeward,Benjamin William Hastings,Benjamin William Hastings,spotify:track:40RBdwPJGol3XYg2T7jR5Y,,,,,,,,trackdone,trackdone,True,False,False,1693877099.0,False,2023-09-05 01:29:54+00:00,2023-09-05,1,Tuesday,9,2023,296.346,4.9391,Benjamin William Hastings,Homeward,Benjamin William Hastings
2023-09-05T01:36:26Z,ios,390426,US,172.56.208.159,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,trackdone,trackdone,True,False,False,1693877395.0,False,2023-09-05 01:36:26+00:00,2023-09-05,1,Tuesday,9,2023,390.426,6.507099999999999,Hillsong UNITED,Highlands (Song Of Ascent) - Live,People
2023-09-05T01:43:57Z,ios,432640,US,172.56.208.159,I Am Loved,Mack Brock,I Am Loved,spotify:track:3eWfz0o9bJZ3t9GCPjLtQD,,,,,,,,trackdone,trackdone,True,False,False,1693877805.0,False,2023-09-05 01:43:57+00:00,2023-09-05,1,Tuesday,9,2023,432.64,7.210666666666667,Mack Brock,I Am Loved,I Am Loved
2023-09-05T01:47:41Z,ios,222813,US,172.56.208.159,This Is a Move,Brandon Lake,This Is a Move,spotify:track:7cRrS2PIyaXzmNDTFckXJ2,,,,,,,,trackdone,trackdone,True,False,False,1693878238.0,False,2023-09-05 01:47:41+00:00,2023-09-05,1,Tuesday,9,2023,222.813,3.7135499999999997,Brandon Lake,This Is a Move,This Is a Move
2023-09-05T01:53:10Z,ios,307026,US,172.56.208.159,Christ Is Risen,Mack Brock,Greater Things,spotify:track:1GQsaKKI0ZJJPI5Zsop20u,,,,,,,,trackdone,trackdone,True,False,False,1693878477.0,False,2023-09-05 01:53:10+00:00,2023-09-05,1,Tuesday,9,2023,307.026,5.1171,Mack Brock,Christ Is Risen,Greater Things
2023-09-05T01:57:35Z,ios,265377,US,172.56.208.159,Endless Alleluia,Cory Asbury,Reckless Love,spotify:track:0mqDhUDKwpnDvIFoQYR524,,,,,,,,trackdone,trackdone,True,False,False,1693878790.0,False,2023-09-05 01:57:35+00:00,2023-09-05,1,Tuesday,9,2023,265.377,4.42295,Cory Asbury,Endless Alleluia,Reckless Love
2023-09-05T02:03:04Z,ios,296365,US,172.56.208.159,Miracle,Mosaic MSC,Miracle,spotify:track:54rJa67IrktOcXKYw7wGTR,,,,,,,,trackdone,trackdone,True,False,False,1693879086.0,False,2023-09-05 02:03:04+00:00,2023-09-05,2,Tuesday,9,2023,296.365,4.939416666666667,Mosaic MSC,Miracle,Miracle
2023-09-05T02:11:30Z,ios,503240,US,172.56.208.159,Way Maker - Live,Leeland,Better Word,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,,,,,,,,trackdone,trackdone,True,False,False,1693879385.0,False,2023-09-05 02:11:30+00:00,2023-09-05,2,Tuesday,9,2023,503.24,8.387333333333334,Leeland,Way Maker - Live,Better Word
2023-09-05T02:16:16Z,ios,255320,US,172.56.208.159,"God, Turn It Around",Jon Reddick,"God, Turn It Around",spotify:track:7o7YMusB6yqUQUtz7lDVrg,,,,,,,,trackdone,trackdone,True,False,False,1693879921.0,False,2023-09-05 02:16:16+00:00,2023-09-05,2,Tuesday,9,2023,255.32,4.255333333333334,Jon Reddick,"God, Turn It Around","God, Turn It Around"
2023-09-05T02:20:30Z,ios,252957,US,172.56.208.159,Born Again,Cory Asbury,Reckless Love,spotify:track:7dhXGtYEZrxzkIsB1kY0Ps,,,,,,,,trackdone,trackdone,True,False,False,1693880177.0,False,2023-09-05 02:20:30+00:00,2023-09-05,2,Tuesday,9,2023,252.957,4.21595,Cory Asbury,Born Again,Reckless Love
2023-09-05T02:27:22Z,ios,380249,US,172.56.209.29,Abide,Kingdom Culture Worship,Kingdom Culture Worship,spotify:track:2hKuhm3kV2lxDjVzS8pqr5,,,,,,,,trackdone,unexpected-exit-while-paused,True,False,False,1693880461.0,False,2023-09-05 02:27:22+00:00,2023-09-05,2,Tuesday,9,2023,380.249,6.337483333333334,Kingdom Culture Worship,Abide,Kingdom Culture Worship
2023-09-05T04:18:26Z,ios,140533,US,172.56.209.29,Mood (feat. iann dior),24kGoldn,El Dorado,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,,,,,,,,clickrow,trackdone,False,False,False,1693887366.0,False,2023-09-05 04:18:26+00:00,2023-09-05,4,Tuesday,9,2023,140.533,2.3422166666666664,24kGoldn,Mood (feat. iann dior),El Dorado
2023-09-05T04:19:48Z,ios,50132,US,172.56.209.29,Sava i Dunav,Henny,Sava i Dunav,spotify:track:64IFiUCsksRiHrUwfPKw6H,,,,,,,,trackdone,endplay,False,True,False,1693887537.0,False,2023-09-05 04:19:48+00:00,2023-09-05,4,Tuesday,9,2023,50.132,0.8355333333333334,Henny,Sava i Dunav,Sava i Dunav
2023-09-05T04:23:31Z,ios,222496,US,172.56.209.29,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],Ed Sheeran,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],spotify:track:0VcgLoEMA06AKqPxxj2YQs,,,,,,,,playbtn,trackdone,True,False,False,1693887589.0,False,2023-09-05 04:23:31+00:00,2023-09-05,4,Tuesday,9,2023,222.496,3.708266666666667,Ed Sheeran,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix]
2023-09-05T04:25:27Z,ios,103568,US,172.56.209.29,2step (feat. Lil Baby),Ed Sheeran,2step,spotify:track:1qqSQhDwPXl8WY0Fxx9kIt,,,,,,,,trackdone,endplay,True,True,False,1693887812.0,False,2023-09-05 04:25:27+00:00,2023-09-05,4,Tuesday,9,2023,103.568,1.7261333333333333,Ed Sheeran,2step (feat. Lil Baby),2step
2023-09-05T04:32:05Z,ios,362448,US,172.56.209.70,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,playbtn,logout,True,False,False,1693887955.0,False,2023-09-05 04:32:05+00:00,2023-09-05,4,Tuesday,9,2023,362.448,6.0408,Hillsong UNITED,Highlands (Song Of Ascent) - Live,People
2023-09-06T00:18:18Z,ios,393360,US,172.56.209.70,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,fwdbtn,trackdone,True,False,False,1693959106.0,False,2023-09-06 00:18:18+00:00,2023-09-06,0,Wednesday,9,2023,393.36,6.556,Hillsong UNITED,Another In The Fire - Live,People
2023-09-06T00:26:45Z,ios,159955,US,172.56.209.42,Know You Will,Hillsong UNITED,Are We There Yet?,spotify:track:1msuK7HwKl3wgQGMLU0XQU,,,,,,,,trackdone,unexpected-exit-while-paused,True,False,False,1693959529.0,False,2023-09-06 00:26:45+00:00,2023-09-06,0,Wednesday,9,2023,159.955,2.665916666666667,Hillsong UNITED,Know You Will,Are We There Yet?
2023-09-07T00:56:36Z,ios,58551,US,172.56.209.42,Know You Will,Hillsong UNITED,Are We There Yet?,spotify:track:1msuK7HwKl3wgQGMLU0XQU,,,,,,,,appload,trackdone,True,False,False,1694048128.0,False,2023-09-07 00:56:36+00:00,2023-09-07,0,Thursday,9,2023,58.551,0.97585,Hillsong UNITED,Know You Will,Are We There Yet?
2023-09-07T01:03:16Z,ios,353546,US,172.56.209.42,Good Grace - Live,Hillsong UNITED,People,spotify:track:7nzmXUrZwSOJPNmV0mOmEn,,,,,,,,playbtn,trackdone,True,False,False,1694048242.0,False,2023-09-07 01:03:16+00:00,2023-09-07,1,Thursday,9,2023,353.546,5.892433333333333,Hillsong UNITED,Good Grace - Live,People
2023-09-07T01:09:50Z,ios,393360,US,172.56.209.42,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,trackdone,trackdone,True,False,False,1694048597.0,False,2023-09-07 01:09:50+00:00,2023-09-07,1,Thursday,9,2023,393.36,6.556,Hillsong UNITED,Another In The Fire - Live,People
2023-09-07T01:16:03Z,ios,372150,US,172.56.209.42,Jesus You Alone,Highlands Worship,Jesus You Alone,spotify:track:4zYvDOveReSl6t86OfBMCU,,,,,,,,trackdone,trackdone,True,False,False,1694048990.0,False,2023-09-07 01:16:03+00:00,2023-09-07,1,Thursday,9,2023,372.15,6.2025,Highlands Worship,Jesus You Alone,Jesus You Alone
2023-09-07T01:19:42Z,ios,218104,US,172.56.208.14,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,trackdone,unexpected-exit-while-paused,True,False,False,1694049363.0,False,2023-09-07 01:19:42+00:00,2023-09-07,1,Thursday,9,2023,218.104,3.635066666666667,Hillsong UNITED,Highlands (Song Of Ascent) - Live,People
2023-09-08T17:30:58Z,ios,330360,US,172.56.208.14,Hosanna,Hillsong UNITED,All Of The Above,spotify:track:5VlojXyAGM1q9ke2ybxrVT,,,,,,,,playbtn,trackdone,True,False,False,1694193925.0,False,2023-09-08 17:30:58+00:00,2023-09-08,17,Friday,9,2023,330.36,5.506,Hillsong UNITED,Hosanna,All Of The Above
2023-09-08T17:40:26Z,ios,535962,US,172.56.208.14,Oceans (Where Feet May Fail),Hillsong UNITED,Zion,spotify:track:5Mw9bXG1dLNhbjofkVS2oR,,,,,,,,trackdone,trackdone,True,False,False,1694194290.0,False,2023-09-08 17:40:26+00:00,2023-09-08,17,Friday,9,2023,535.962,8.9327,Hillsong UNITED,Oceans (Where Feet May Fail),Zion
2023-09-08T17:45:18Z,ios,262120,US,172.56.208.14,Touch The Sky,Hillsong UNITED,Empires,spotify:track:58yhHre6kOePZPD15hZWgP,,,,,,,,trackdone,trackdone,True,False,False,1694194856.0,False,2023-09-08 17:45:18+00:00,2023-09-08,17,Friday,9,2023,262.12,4.368666666666667,Hillsong UNITED,Touch The Sky,Empires
2023-09-08T17:49:34Z,ios,255320,US,172.56.208.14,"God, Turn It Around",Jon Reddick,"God, Turn It Around",spotify:track:7o7YMusB6yqUQUtz7lDVrg,,,,,,,,trackdone,trackdone,True,False,False,1694195119.0,False,2023-09-08 17:49:34+00:00,2023-09-08,17,Friday,9,2023,255.32,4.255333333333334,Jon Reddick,"God, Turn It Around","God, Turn It Around"
2023-09-08T17:54:10Z,ios,245945,US,172.56.208.14,Scandal Of Grace,Hillsong UNITED,Zion,spotify:track:0st2C7aLz9xkr7JyshhUHK,,,,,,,,trackdone,trackdone,True,False,False,1694195405.0,False,2023-09-08 17:54:10+00:00,2023-09-08,17,Friday,9,2023,245.945,4.099083333333334,Hillsong UNITED,Scandal Of Grace,Zion
2023-09-08T18:02:21Z,ios,490000,US,172.56.208.14,New Wine - Live,Hillsong Worship,There Is More,spotify:track:1MX4dx6yNvAH2GjIVsUF4h,,,,,,,,trackdone,trackdone,True,False,False,1694195651.0,False,2023-09-08 18:02:21+00:00,2023-09-08,18,Friday,9,2023,490.0,8.166666666666666,Hillsong Worship,New Wine - Live,There Is More
